,,x
1996,1,79.35
,2,75.78
,3,86.32
,4,72.6
,5,74.86
,6,83.81
,7,79.8
,8,62.41
,9,85.41
,10,83.11
,11,84.21
,12,89.7
1997,13,78.64
,14,77.42
,15,89.86
,16,81.27
,17,78.68
,18,89.51
,19,83.67
,20,69.8
,21,91.09
,22,89.43
,23,91.04
,24,92.87
1998,25,81.87
,26,85.36
,27,92.98
,28,81.09
,29,85.64
,30,91.14
,31,83.46
,32,66.37
,33,93.34
,34,85.93
,35,86.81
,36,93.3
1999,37,81.59
,38,81.77
,39,91.24
,40,79.45
,41,86.99
,42,96.6
,43,97.99
,44,79.13
,45,103.56
,46,100.89
,47,99.4
,48,111.8
2000,49,95.3
,50,97.77
,51,116.23
,52,100.98
,53,104.07
,54,114.64
,55,107.62
,56,96.12
,57,123.5
,58,116.12
,59,116.86
,60,128.61
2001,61,100.56
,62,103.05
,63,119.06
,64,92.46
,65,98.75
,66,111.14
,67,96.13
,68,79.72
,69,102.07
,70,96.18
,71,101.26
,72,109.85
2002,73,89.52
,74,89.27
,75,104.35
,76,87.05
,77,89.33
,78,102.2
,79,88.13
,80,75.68
,81,99.48
,82,96.4
,83,96.16
,84,101
2003,85,89.34
,86,86.91
,87,98.9
,88,85.54
,89,85.25
,90,101.14
,91,91.8
,92,76.98
,93,104.33
,94,99.72
,95,101.06
,96,109
2004,97,89.88
,98,92.27
,99,105.11
,100,91.5
,101,92.56
,102,104.35
,103,96.21
,104,79.58
,105,105.43
,106,99.18
,107,99.77
,108,113.55
2005,109,91.65
,110,90.56
,111,105.52
,112,92.18
,113,91.22
,114,109.04
,115,99.26
,116,83.36
,117,110.8
,118,104.95
,119,107.07
,120,114.4
